task_id,step_idx,MTE_A,MTE_T,MaxTE_A,MaxTE_T,PPL_A,PPL_T,SP_A,SP_T,chat_ingen_J,posthoc_num_A,posthoc_num_T,ptrue_A,ptrue_R,ptrue_T,sep_verbalized_A,sep_verbalized_T,tau,loop_flag,obs_changed,in_admissible,judge_correct_frac,judge_n_valid
1009,1,0.006133178777767996,0.3804184368125544,0.05212232322118791,1.9183060669862209,1.000927509577566,1.3305340833533257,0.008309005157442706,0.9999999972317474,0.05,0.0,0.0,5.4927880139153036e-11,7.991959471957349e-11,5.905303847765842e-10,0.0,0.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1009,2,0.11652152684676323,0.18424616156102763,0.5822329704104586,1.462241163047092,1.0646630176553855,1.1105947990994522,0.268963339057779,0.9992016068604747,0.0,0.0,0.0,4.058651999685667e-10,4.5990552474750977e-10,8.592166370751814e-10,0.0,0.0,"{'I': 0, 'W': 1, 'R': 0, 'C': 'costly'}",False,True,True,1.0,3
1084,1,0.002311906467441719,0.30229179660858174,0.012771683072663768,1.4591073983689993,1.0003004859826583,1.2228433499975067,0.0021008759848148983,0.9999999887990509,0.2,0.09999999999999998,0.09999999999999998,7.052880088306936e-11,2.1724403344011472e-10,1.9555680140210344e-08,0.09999999999999998,0.19999999999999996,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1084,2,0.12464851011584484,0.2230193905440875,1.1132695552173448,1.660373188771538,1.079512075150576,1.1574577088277038,0.4977123980314645,0.9999999998339612,0.2,0.19999999999999996,0.09999999999999998,0.0015011820287232462,0.005220125995846548,5.905303943765609e-10,0.19999999999999996,0.19999999999999996,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1084,3,0.004073948775955176,0.21211729545342833,0.0173479331928377,1.5726905045235864,1.0005544442293335,1.1559911140189072,0.0033202193323198514,0.9999999995183466,0.2,0.09999999999999998,0.050000000000000044,3.581748060292957e-10,6.825603193812513e-08,1.60522793364838e-09,0.19999999999999996,0.19999999999999996,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1084,4,0.08985872446336404,0.24163402242935422,0.269839144663371,1.150801180903831,1.0197509906504154,1.1562236127939376,0.1279506780063706,0.999999972774249,0.2,0.19999999999999996,0.09999999999999998,4.1399377176322974e-08,0.00012339451302535793,9.736199547135344e-10,0.19999999999999996,0.19999999999999996,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1084,5,0.17333723277072363,0.21361899273829787,0.7602678873861461,1.4645809192260117,1.0724251535303704,1.1217775885365393,0.3426479076259483,0.9999974269811374,0.2,0.19999999999999996,0.09999999999999998,3.85074174922875e-09,1.5534970636266882e-06,8.764248167200101e-08,0.19999999999999996,0.19999999999999996,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1084,6,0.0023002465634931607,0.27863643149929923,0.015920667822729447,1.9222536601498785,1.0003184312212403,1.1745723999003375,0.00222618210235781,0.9999999999943849,0.2,0.09999999999999998,0.09999999999999998,2.1444936978641586e-05,0.003172681819188943,1.3440408786828406e-08,0.19999999999999996,0.19999999999999996,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.6666666666666666,3
1084,7,0.06032890832820497,0.21036213502636222,0.4207709364268959,1.8152127305148615,1.0231967137053344,1.1517839215403423,0.14830118355292154,0.9999997955628914,0.2,0.09999999999999998,0.09999999999999998,4.450848287174094e-07,3.120190368885798e-05,9.237449628612187e-09,0.19999999999999996,0.19999999999999996,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,True,0.0,3
110,1,0.024039086424003153,0.29700708856330416,0.2070574167620238,1.3949278436392663,1.005505299025359,1.2778156483408605,0.05342209438785983,0.9999999969623075,0.1,0.0,0.050000000000000044,3.160881559619571e-10,7.582561462249582e-10,3.8507418130517715e-09,0.050000000000000044,0.09999999999999998,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
