task_id,step_idx,MTE_A,MTE_T,MaxTE_A,MaxTE_T,PPL_A,PPL_T,SP_A,SP_T,chat_ingen_J,ptrue_A,ptrue_R,ptrue_T,tau,loop_flag,obs_changed,in_admissible,judge_correct_frac,judge_n_valid
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,1,0.049556779012259744,0.3327439012156188,0.2972697052520124,1.3997089028510363,1.0126773782605125,1.2527159821519203,0.07280015892692016,0.9999973551517248,0.05,0.0066929982873512464,0.32082054718782227,0.09534949259858556,"{'I': 1, 'W': 0, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,2,0.0028716671952972684,0.2595382632168705,0.02008322665328131,1.6207763886529547,1.0003802527182273,1.1665757866978352,0.0026577250620216653,0.9999999999855422,0.1,0.022977450907688005,0.014063675016082605,0.02297767716376185,"{'I': 0, 'W': 1, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,3,0.14305873307196373,0.3615695544510532,0.7150708731738227,2.1397952594968825,1.1232349541937905,1.23585418830386,0.440697255399234,1.0,0.05,0.008577659576088876,0.06008663202765836,0.06008727344714104,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,4,0.027623984746932687,0.46363582157158856,0.05482812813416317,2.067061790579333,1.0042599522263107,1.3220676657507413,0.008465770460183153,1.0,0.05,0.26894158163193277,0.7310573616349175,0.5621750748318124,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,5,0.01619626903349754,0.35238177588685604,0.1619443983421107,1.6568901387939086,1.0032129859772507,1.221457701866271,0.03156930099704902,0.9999999999999658,0.1,0.14804716383808186,0.4999993869741765,0.4378222579817401,"{'I': 0, 'W': 1, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,1,0.07429893385888738,0.3341466970558069,0.4457139087358581,1.6144771888037859,1.0213313801947823,1.2256141282341007,0.11895123719729672,0.9999938746876388,0.2,0.0019267445749173201,0.014063626835217872,0.4378222385350255,"{'I': 1, 'W': 0, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,2,0.024322392646157508,0.4154549289768973,0.21886215750625646,1.758763502905303,1.0052859270280452,1.3066496743845006,0.04633998549302798,1.0,0.1,0.26894135828074556,0.851952238612346,0.994779821203135,"{'I': 0, 'W': 1, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,3,0.05714248366365251,0.3974185400096826,0.2856952401736756,1.8671351164100982,1.01464904449844,1.2376660599327136,0.07013319049214695,1.0,0.1,0.3775397823305492,0.7310576775994821,0.4999960326778031,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.3333333333333333,3
look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,4,0.06141784292385688,0.48454847363590353,0.2795005724552383,2.0911237017629904,1.016984222026239,1.3640201499351772,0.08075997819364888,1.0,0.1,0.0758581749066525,0.7310577739524217,0.22269992909286948,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,5,0.008111154202572501,0.45881033604428234,0.07211816946479149,1.8826743053426638,1.001400301920094,1.3147482922125684,0.012514930391473666,1.0,0.3,0.8175732845254674,0.9706875306534859,0.7772983755530875,"{'I': 0, 'W': 1, 'R': 1, 'C': 'cheap'}",False,True,True,0.0,3
