task_id,step_idx,MTE_A,MTE_T,MaxTE_A,MaxTE_T,PPL_A,PPL_T,SP_A,SP_T,chat_ingen_J,posthoc_num_A,posthoc_num_T,ptrue_A,ptrue_R,ptrue_T,sep_verbalized_A,sep_verbalized_T,tau,loop_flag,obs_changed,in_admissible,judge_correct_frac,judge_n_valid
1009,1,0.003433191276001118,0.2349463962814158,0.026464203905502793,1.3819109420563256,1.0005220807286765,1.101675917740139,0.004166850422903656,0.9662623335858604,,0.050000000000000044,0.050000000000000044,3.059023350552657e-07,3.4663274436673724e-07,1.3007123694515823e-05,0.050000000000000044,0.050000000000000044,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1009,2,0.006717593839197108,0.27233918567839027,0.04017960483532663,1.1045380114673367,1.0011214227299787,1.1737785146406106,0.006702205789493876,0.9930364744680078,0.0,0.0,0.050000000000000044,2.9023119845033387e-06,1.444980209274974e-07,2.902311964530676e-06,0.0,0.0,"{'I': 0, 'W': 1, 'R': 0, 'C': 'costly'}",False,True,True,1.0,3
1084,1,0.0012455183298689645,0.323508657125365,0.005855038833181111,1.7578172339837708,1.000148089937512,1.1872259716742897,0.0007401208417516791,0.9997772262800685,,0.050000000000000044,0.09999999999999998,5.043476472384347e-07,1.7603429882069996e-06,4.0063691942600364e-05,0.050000000000000044,0.050000000000000044,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1084,2,8.452333513678965e-05,0.23990064072113962,0.0003977602205843525,1.2745564543501204,1.000007390877868,1.151089131895524,3.695356997779342e-05,0.9999195177489563,,0.050000000000000044,0.09999999999999998,6.475945624852728e-07,1.994729944779551e-06,2.430025168032434e-05,0.050000000000000044,0.050000000000000044,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,True,0.0,3
1084,3,0.001291685643687404,0.25177766825767145,0.005203374017297725,1.482454371552182,1.0001414184337507,1.2050009324016508,0.0008480907781943658,0.9999996680983867,,0.25,0.4,3.28875062485666e-06,1.76035525310595e-06,0.11920292536841173,0.25,0.4,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
1084,4,0.0001044654002625187,0.29317757906222724,0.0006266331091527814,1.123926376367305,1.0000097153211358,1.1956210050995537,5.828994472933946e-05,0.9980759062435242,,0.09999999999999998,0.09999999999999998,3.28875057736243e-06,4.222834921286456e-06,8.4811039154269e-05,0.050000000000000044,0.050000000000000044,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,True,0.0,3
1084,5,0.007629247725231642,0.28885994361613904,0.033394484942590466,1.1219117230588345,1.001006042122719,1.1388224200457027,0.005015064368991129,0.9951548899026728,,0.09999999999999998,0.09999999999999998,5.422217490769293e-06,1.0129987189362363e-05,4.539785098831299e-05,0.050000000000000044,0.050000000000000044,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,True,True,0.0,3
1084,6,0.00012602786437647276,0.3015774761712212,0.0006266338609719792,1.6150339647416991,1.000011682238824,1.1482100220779619,5.840914705601552e-05,0.9998559097246188,,0.19999999999999996,0.15000000000000002,3.12019032308695e-05,7.889290379502241e-06,0.006692851292628359,0.050000000000000044,0.25,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,True,0.0,3
1084,7,0.00019807574194023267,0.30407912873515114,0.0009850546904089886,1.581579749795125,1.0000192634841327,1.285980103774294,9.631185468694792e-05,0.9999999382638504,,0.19999999999999996,0.15000000000000002,1.4738988700779659e-05,4.222834942000092e-06,0.0005527785911106127,0.050000000000000044,0.25,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,True,0.0,3
110,1,0.22467647574967983,0.3109287385633332,1.5055700265953744,1.4242329938833371,1.1413209676407154,1.2734845725104964,0.842858513531231,0.999995581021323,,0.15000000000000002,0.09999999999999998,1.9947299534508454e-06,3.726638825814101e-06,0.000261190306753431,0.050000000000000044,0.050000000000000044,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,1.0,3
110,2,0.004016638870248489,0.6382912724285016,0.02153719377512102,2.28624114656887,1.000516361114929,1.4771425739377921,0.006688493786946359,0.9999999996746546,,0.15000000000000002,0.15000000000000002,7.33820804745934e-07,1.7603430002147148e-06,2.7535687797599402e-05,0.15000000000000002,0.25,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
110,3,0.07021393456916995,0.44716908765939894,0.39817043825771564,1.801263187799868,1.4274017495709606,1.296552166562016,0.8817713715127589,0.9999999999999998,0.05,0.4,0.25,0.9990889485908824,3.535626572317378e-05,0.0004305570926711689,0.65,0.35,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
