task_id,step_idx,MTE_A,MTE_T,MaxTE_A,MaxTE_T,PPL_A,PPL_T,SP_A,SP_T,chat_ingen_J,posthoc_num_A,posthoc_num_T,ptrue_A,ptrue_R,ptrue_T,sep_verbalized_A,sep_verbalized_T,targeted_posthoc_T,tau,loop_flag,obs_changed,in_admissible,judge_correct_frac,judge_n_valid
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,1,0.0010595853392429398,0.6991182098756513,0.003333918172721341,1.9888082875980253,1.0001024154854858,1.62765137166702,0.0005119201310441746,0.9999999999976873,0.05,0.050000000000000044,0.0,8.071056282407848e-10,1.1743473853164293e-09,1.1743293767922649e-09,0.050000000000000044,0.050000000000000044,0.65,"{'I': 1, 'W': 0, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,2,0.0034045824370659357,0.443332160088056,0.019562496770736893,2.1024474600446,1.0004081793764437,1.2780716800293461,0.0024455812450846492,0.9999839669748626,0.0,0.0,0.0,4.36322214786459e-09,8.151648903526654e-09,1.7428893732704351e-07,0.0,0.050000000000000044,0.0,"{'I': 0, 'W': 1, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,3,0.033413149592342414,0.6048962006147439,0.18540667190636917,2.400224398572768,1.0064625254596107,1.5522426589525082,0.0379130013839869,0.9999999999999997,0.15,0.19999999999999996,0.19999999999999996,1.873791675247853e-06,3.25619232622867e-07,1.760269312802178e-06,0.15000000000000002,0.15000000000000002,0.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,False,0.3333333333333333,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,4,0.009560091165733975,0.6306783017723059,0.054353401270505676,2.056897301080262,1.0011918180646062,1.5470289993781143,0.007121173899831579,1.0,0.15,0.19999999999999996,0.4,0.00043053377099921893,0.0010321749919363734,0.005910685391981635,0.15000000000000002,0.35,0.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",True,False,False,0.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,5,0.29892551393037803,0.6633066488486564,0.8163992666517894,2.430359458881344,1.1031644777814313,1.6414978275540635,0.3247899091903441,1.0,0.15,0.4,0.4,0.10668045998552302,0.06753897953626121,0.0017005785847557658,0.35,0.35,0.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,True,0.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,6,0.18023723868561686,0.5964612258352981,0.7202136810011619,1.8409382278426105,1.0818051628150227,1.5281780497046817,0.4232911024638849,1.0,0.15,0.4,0.5,0.2689179808185498,0.02931004665263833,0.2450669752089641,0.35,0.35,0.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,7,0.0038065911236435765,0.6394393491844202,0.025305795764703518,2.3679118322689496,1.0004759391384044,1.5176698039097198,0.0033252405082296876,0.9999999999285386,0.05,0.09999999999999998,0.19999999999999996,3.7264973359919463e-06,8.939385556409606e-06,4.784921394373705e-06,0.0,0.15000000000000002,1.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,8,0.05535041539351556,0.5567064687166214,0.23323012262353437,2.5018126748908958,1.0139030857633544,1.4615361652672165,0.06670749973043777,0.9999999999999969,0.15,0.050000000000000044,0.09999999999999998,2.535918512614652e-07,1.3709108516645903e-06,1.1253025832351642e-07,0.050000000000000044,0.15000000000000002,1.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,False,0.3333333333333333,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,9,0.010898095006288666,0.5063204412422806,0.0639371514488822,1.824222196161096,1.0017326683559056,1.3531431432356469,0.010333255367366845,0.9999999998957981,0.15,0.19999999999999996,0.19999999999999996,0.00043053593718523015,4.539605929548985e-05,5.828878101248626e-05,0.050000000000000044,0.15000000000000002,1.0,"{'I': 0, 'W': 1, 'R': 1, 'C': 'cheap'}",False,True,True,1.0,3
look_at_obj_in_light-AlarmClock-None-DeskLamp-323/trial_T20190909_044715_250790,10,0.010604155311313123,0.5892502461138033,0.04034533848617454,2.135938160649006,1.0015342768769582,1.4712073703375956,0.0076362003243066745,0.9999999999999992,0.15,0.09999999999999998,0.19999999999999996,3.120060856256309e-05,0.00017952048948081982,0.0013249572189275689,0.15000000000000002,0.15000000000000002,0.0,"{'I': 1, 'W': 0, 'R': 1, 'C': 'free'}",False,True,False,0.0,3
